id,username,created_at,lng,lat,text
1517356014890323968,moofish7,Fri Apr 22 04:13:59 +0000 2022,-83.7299715,42.270839499999994,Wordle 307 3/6⬛🟨⬛⬛🟨🟨⬛🟨⬛⬛🟩🟩🟩🟩🟩
1517356014927900673,DannyDeVato666,Fri Apr 22 04:13:59 +0000 2022,-117.772917,34.0654505,Bruh I can't wait to see Anthony Green
1517356014256885761,NDLSDIAZ,Fri Apr 22 04:13:59 +0000 2022,-121.469664,38.561722,𝐌𝐲 𝐞𝐯𝐞𝐫𝐲𝐭𝐡𝐢𝐧𝐠  🌏❤️‍🔥🔒 https://t.co/1DygpJJPii
1517356015737577474,RodneyS97356223,Fri Apr 22 04:13:59 +0000 2022,-79.2725695,43.629311,"@jamesbondlive That could also be root-caused to Sherlock Holmes' Moriarty, the Victorian crime kingpin."
1517356017507524609,mandisaofficial,Fri Apr 22 04:14:00 +0000 2022,-85.9785995,35.8305215,@hulu is working for me now. Thank you!
1517356018627342336,itsjay211,Fri Apr 22 04:14:00 +0000 2022,-121.243741,36.323569500000005,"Fuck procrastinating, I am on my vision 🙏🏽"
1517356018518433793,Podia2Dromedary,Fri Apr 22 04:14:00 +0000 2022,-73.9685415,40.780709,"@LittleMissLizz I began when I saw ‘Mudd’s Women’ on Star Trek in ‘71, and truly believe it’s better to be ruled by… https://t.co/LxRHmhP0Lb"
1517356020582031360,rplindsley,Fri Apr 22 04:14:01 +0000 2022,-81.705467,41.495939500000006,"@mistrustme1 Dear God...Quit playing with me, Molly! Either just go Super Saiyan or quit teasing! We ALL know the… https://t.co/BmnrVPUq42"
1517356021500592130,Mauricee229,Fri Apr 22 04:14:01 +0000 2022,-83.1738665,32.6782075,"Quitting smoking weed for a while, I feel like it’s messing up my fitness performance"
1517356022595211265,Nathani52209787,Fri Apr 22 04:14:01 +0000 2022,-112.0777,33.4482,"Just posted a photo @ Phoenix, Arizona https://t.co/Ya8CIzFrKL"
